dataset,embryo,nodes,valid_regions,invalid_regions,seed_collisions,isotropic_inertia_regions,anisotropic_inertia_regions,regions_with_nonzero_intensity_std,candidate_edges,both_endpoint_regions_valid,finite_HOCT_edges,missing_region_edges,valid_endpoint_edges_without_HOCT_score
6bba_76db78c1,6bba,4648,4369,279,0,1,4368,4369,6118,5238,5180,880,58
6bba_784a78c9,6bba,12722,11394,1328,0,1,11393,11394,22288,17351,17297,4937,54
6bba_786893ac,6bba,58409,46764,11645,1,36,46728,46764,194173,119842,119584,74331,258
6bba_789f8168,6bba,10679,9342,1337,0,1,9341,9342,24640,17771,17642,6869,129
6bba_78a7bd97,6bba,39035,28229,10806,0,20,28209,28229,130089,65297,65151,64792,146
6bba_7af54fde,6bba,10107,8751,1356,0,9,8742,8751,19435,13989,13924,5446,65
6bba_7b5d3b2c,6bba,5477,4983,494,0,2,4981,4983,7605,5968,5898,1637,70
6bba_7d3058ae,6bba,7460,6938,522,0,1,6937,6938,11642,9492,9446,2150,46
6bba_7f87b3d8,6bba,9372,7900,1472,1,0,7900,7900,22899,14847,14738,8052,109
6bba_80d12824,6bba,8424,7652,772,0,2,7650,7652,16937,13322,13205,3615,117
6bba_825bd1c6,6bba,6885,5996,889,0,1,5995,5996,14595,10350,10197,4245,153
6bba_87289e13,6bba,14017,12685,1332,0,2,12683,12685,35751,27182,27094,8569,88
6bba_8b7818bf,6bba,5656,5193,463,0,0,5193,5193,8830,7075,6948,1755,127
6bba_907271db,6bba,6861,6444,417,0,2,6442,6444,10409,9057,8968,1352,89
6bba_91951b3a,6bba,11408,9871,1537,0,2,9869,9871,20949,14857,14774,6092,83
6bba_96833384,6bba,4764,4391,373,0,0,4391,4391,6568,5335,5080,1233,255
6bba_969618f6,6bba,15619,12263,3356,2,13,12250,12263,32385,19334,19252,13051,82
6bba_971fa5e0,6bba,4994,4547,447,0,2,4545,4547,8007,6115,5955,1892,160
6bba_9a41d029,6bba,18420,15123,3297,1,13,15110,15123,49163,32006,31961,17157,45
6bba_9e23430b,6bba,7483,6230,1253,0,3,6227,6230,13758,9043,8929,4715,114
6bba_a5e926bb,6bba,7970,6893,1077,0,0,6893,6893,15898,10525,10385,5373,140
6bba_a90a0b9c,6bba,31250,27028,4222,3,15,27013,27028,96729,69411,69161,27318,250
6bba_ab78413d,6bba,13533,10247,3286,1,6,10241,10247,26271,15126,14978,11145,148
6bba_acd782a8,6bba,19831,16630,3201,0,6,16624,16630,50272,32728,32550,17544,178
6bba_ae82a791,6bba,7130,6602,528,0,0,6602,6602,11351,9319,9212,2032,107
6bba_aeee7805,6bba,4950,4641,309,0,1,4640,4641,6416,5472,5342,944,130
6bba_af149c94,6bba,7815,7077,738,0,1,7076,7077,12492,9918,9884,2574,34
6bba_afb141ff,6bba,5573,4884,689,0,0,4884,4884,10391,7473,7335,2918,138
6bba_b1ae37b9,6bba,22942,17869,5073,0,12,17857,17869,85778,51537,51496,34241,41
6bba_b204cac7,6bba,5391,4976,415,0,0,4976,4976,7612,6210,6135,1402,75
6bba_b329af44,6bba,64929,49352,15577,2,25,49327,49352,255185,144417,144343,110768,74
6bba_b693381b,6bba,6138,5496,642,0,3,5493,5496,11108,7990,7719,3118,271
6bba_bb9f20c3,6bba,22931,20684,2247,2,25,20659,20684,60743,47152,47110,13591,42
6bba_bbb708ca,6bba,6537,5387,1150,0,6,5381,5387,10768,6952,6839,3816,113
6bba_c27cba08,6bba,6388,5857,531,0,2,5855,5857,10213,8225,8073,1988,152
6bba_c328f2fd,6bba,31074,27733,3341,0,30,27703,27733,95300,71612,71265,23688,347
6bba_c73a1d11,6bba,24050,18490,5560,0,10,18480,18490,66595,38231,38144,28364,87
6bba_cdcfe533,6bba,28332,26901,1431,1,6,26895,26901,64389,56853,56742,7536,111
6bba_cf35214c,6bba,35110,33287,1823,0,12,33275,33287,74396,65260,64916,9136,344
6bba_cff5865f,6bba,47071,42224,4847,0,14,42210,42224,124535,96086,95883,28449,203
6bba_d0fc38b5,6bba,5722,5218,504,0,2,5216,5218,8311,6652,6560,1659,92
6bba_d1acb6ff,6bba,16237,11652,4585,0,12,11640,11652,38242,18392,18320,19850,72
6bba_d2b9fc0c,6bba,18818,17824,994,0,3,17821,17824,42473,37750,37673,4723,77
6bba_d3da753b,6bba,15964,14376,1588,0,0,14376,14376,38555,29353,29249,9202,104
6bba_d5eae175,6bba,4129,3979,150,0,0,3979,3979,5468,4805,4684,663,121
6bba_d6ecebbb,6bba,6064,5337,727,0,1,5336,5337,9484,7198,7013,2286,185
6bba_d82a4fc6,6bba,28866,25746,3120,2,36,25710,25746,85271,65658,65537,19613,121
6bba_debd7bfa,6bba,11795,9545,2250,0,4,9541,9545,27554,16484,16398,11070,86
6bba_df673a83,6bba,21988,17647,4341,1,11,17636,17647,46174,28467,28360,17707,107
6bba_e16ffc58,6bba,5937,5523,414,0,2,5521,5523,8834,7214,7086,1620,128
6bba_e5e44988,6bba,5169,4652,517,0,2,4650,4652,8596,6269,6066,2327,203
6bba_ebdf3b34,6bba,59543,50808,8735,0,65,50743,50808,204191,145117,144916,59074,201
6bba_ebff6e76,6bba,51671,39626,12045,0,21,39605,39626,149211,83184,82967,66027,217
6bba_ed9377fd,6bba,4352,3775,577,0,1,3774,3775,6662,4756,4682,1906,74
6bba_edf14583,6bba,50946,42751,8195,5,33,42718,42751,180191,123062,122838,57129,224
6bba_eebc57a5,6bba,8497,7853,644,0,4,7849,7853,14922,12003,11899,2919,104
6bba_ef7b4f7e,6bba,5839,5362,477,0,3,5359,5362,8679,7039,6926,1640,113
6bba_f17befbc,6bba,25861,19845,6016,0,11,19834,19845,81067,45376,45303,35691,73
6bba_f1fde7e0,6bba,7985,6675,1310,0,1,6674,6675,20489,12740,12541,7749,199
6bba_f20478e9,6bba,5244,4662,582,0,0,4662,4662,8937,6207,6001,2730,206
6bba_f4ae811c,6bba,9341,7908,1433,0,8,7900,7908,17307,11825,11735,5482,90
6bba_f8ffd5e7,6bba,31453,28109,3344,1,18,28091,28109,82324,62580,62317,19744,263
6bba_fbc898dc,6bba,4977,4535,442,0,1,4534,4535,7309,5890,5811,1419,79
6bba_fc516dc6,6bba,6975,6315,660,1,3,6312,6315,13470,9789,9668,3681,121
6bba_fc5f39dc,6bba,17688,14338,3350,2,14,14324,14338,38127,24800,24708,13327,92
6bba_fc83837d,6bba,12254,8915,3339,0,8,8907,8915,29234,14581,14488,14653,93
6bba_fe670320,6bba,9874,8289,1585,1,2,8287,8289,24626,15438,15204,9188,234
