dataset,embryo,source_motion,seconds,gt_nodes,C0_nodes,C0_matched,gt_edges,endpoints_present,candidate_edges,candidate_gt_edges,crowded_endpoint_edges,missed_candidate_edges_crowded,mitotic_endpoint_edges,missed_candidate_edges_mitotic,valid_HOCT_regions,novel_peaks,union_matched,new_peak_matched_nodes,new_peak_new_GT_recovery,union_C0_GT_matches_lost,official_local_candidate_feasible,exact_id_candidate_divisions,oracle_scope,evaluation_only
44b6_0113de3b,44b6,6bba,7.383041609000429,52,25650,49,50,48,108469,48,0,0,0,0,23162,3777,52,7,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_71a4179f,44b6,6bba,9.50840867199986,121,31997,118,119,116,126141,116,11,0,0,0,29216,36125,121,14,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_74d0c52e,44b6,6bba,3.082098285000029,140,8706,140,139,139,25828,139,0,0,2,0,7386,7091,140,6,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_7a302da0,44b6,6bba,18.957854958000098,516,44857,516,507,507,228441,507,22,0,2,0,38006,39577,516,57,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_7e557709,44b6,6bba,14.5148878459986,570,45003,566,560,556,225589,556,14,0,0,0,42230,14092,570,30,4,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_808952d6,44b6,6bba,4.155098143999567,181,15095,181,179,179,45633,179,0,0,0,0,13737,6179,181,7,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_81c256f0,44b6,6bba,3.066003746000206,199,11284,199,197,197,31788,197,0,0,0,0,10351,2544,199,12,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_87bba6c4,44b6,6bba,9.614417683000283,153,29253,143,149,136,150180,133,4,0,0,0,19718,16410,152,66,9,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_8cc6506c,44b6,6bba,5.962008155998774,400,18916,398,396,394,90685,394,7,0,0,0,15367,16675,400,20,2,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_8f5ab931,44b6,6bba,9.120640105998973,616,27899,605,604,589,150488,589,5,0,0,0,22390,11271,616,82,11,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_8f9ecab4,44b6,6bba,13.373481570000877,374,41115,374,370,370,204655,370,14,0,0,0,37261,35260,374,20,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_90724892,44b6,6bba,6.952847631000623,105,23407,105,103,103,117958,103,3,0,0,0,19845,8492,105,11,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_949adeb1,44b6,6bba,13.075953632000164,388,39204,379,378,367,217167,366,7,0,0,0,30915,16861,388,64,9,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_95029e92,44b6,6bba,1.4184224759992503,200,4791,200,198,198,7311,198,0,0,0,0,4521,1302,200,2,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_97725144,44b6,6bba,9.60511430599945,225,33822,224,221,219,124570,219,0,0,0,0,28839,19971,225,14,1,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_996155de,44b6,6bba,3.0441793850004615,380,9281,375,377,370,19807,370,0,0,2,0,8590,4291,379,12,4,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_9be80b04,44b6,6bba,10.11872396400031,222,26099,219,220,216,113646,216,0,0,1,0,22467,34356,222,25,3,0,1,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_9bfa6a0a,44b6,6bba,12.573251608999271,264,39731,264,259,259,188526,259,2,0,0,0,36226,28005,264,18,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_a21120c2,44b6,6bba,9.836530347000007,296,22022,296,286,286,104712,286,0,0,4,0,19152,4041,296,30,0,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_a2bb48bb,44b6,6bba,16.130218125001193,416,46816,415,410,408,252324,408,20,0,0,0,35654,46990,416,57,1,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_aaf8b0ea,44b6,6bba,5.100491728999259,209,15427,207,206,203,47412,203,0,0,1,0,13879,10343,209,6,2,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_abf82518,44b6,6bba,8.07921100800013,96,26447,96,94,94,133474,94,0,0,0,0,23563,9765,96,0,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_b2c44266,44b6,6bba,11.53333547299917,170,37972,164,168,159,164050,159,0,0,0,0,34192,28575,170,27,6,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_c15fded2,44b6,6bba,5.8516165199998795,104,19539,104,102,102,88752,101,0,0,0,0,15896,5953,104,13,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_c50204e0,44b6,6bba,18.918443558000945,333,38081,329,325,317,200521,317,15,0,4,0,29425,32254,333,61,4,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_c771cb04,44b6,6bba,9.72817580499941,227,29877,225,223,219,151720,218,11,0,0,0,25041,36251,227,34,2,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_c8e2a523,44b6,6bba,11.312863318999007,168,28827,165,164,161,134302,160,0,0,2,0,26718,6115,167,13,2,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_c96cfa10,44b6,6bba,12.811577337000926,629,38261,617,616,601,209354,600,16,0,0,0,33410,17178,625,52,8,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_cf2536e8,44b6,6bba,6.776943995000693,76,22510,76,75,75,78786,75,0,0,0,0,20268,34394,76,2,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_cf8fed6b,44b6,6bba,14.36885859999893,191,41645,191,188,188,213555,188,0,0,0,0,35262,12907,191,12,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_d29c9ab2,44b6,6bba,11.616067347000353,1353,36511,1345,1328,1316,169685,1315,7,0,0,0,33147,6171,1353,116,8,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_d2f34f90,44b6,6bba,7.167365250999865,283,15396,280,281,278,68725,278,0,0,4,0,12132,15007,283,14,3,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_d5e7d891,44b6,6bba,23.31507312099893,906,43396,899,893,881,259517,878,38,0,4,0,33676,22327,904,107,5,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_d754aa59,44b6,6bba,1.801869707998776,72,5607,71,70,68,12206,68,0,0,2,0,4869,2584,72,11,1,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_d78e09d9,44b6,6bba,7.295750371000395,463,23584,451,451,437,117979,436,16,0,0,0,20263,5511,463,49,12,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_db3c847b,44b6,6bba,4.617538761000105,165,15572,161,162,158,64667,158,0,0,0,0,13220,6332,165,17,4,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_ddf577ad,44b6,6bba,12.76425831099914,659,38286,652,647,639,208994,638,43,0,0,0,33788,23672,659,77,7,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_deabac95,44b6,6bba,5.744559844999458,126,15694,125,124,122,65120,122,0,0,2,0,12899,4590,126,7,1,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_e28840c6,44b6,6bba,12.529161266998926,311,27352,301,309,298,116914,298,22,0,3,0,25065,40046,310,20,9,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_e29f0176,44b6,6bba,3.8976643349997175,51,13522,50,50,48,55956,48,0,0,0,0,9352,5911,51,3,1,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_e31261b4,44b6,6bba,24.06016980700042,116,66901,115,113,111,411109,110,2,0,0,0,56080,21563,116,10,1,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_e35b117d,44b6,6bba,6.083874793999712,270,19836,254,266,246,83187,246,0,0,0,0,16083,25483,270,62,16,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_e57ff5c6,44b6,6bba,5.299473487000796,193,17505,176,186,165,73997,165,5,0,0,0,12311,15557,190,50,14,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_eb2880fc,44b6,6bba,14.098289256999124,390,37271,388,379,376,183128,375,3,0,2,1,33509,17063,390,21,2,0,1,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_f28707c6,44b6,6bba,6.438380968998899,63,21689,63,61,61,102792,61,0,0,0,0,15810,6691,63,13,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_05b6850b,6bba,44b6,1.7684699750006985,861,6100,856,845,839,9484,838,0,0,0,0,5594,3309,860,80,4,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_05db0fb1,6bba,44b6,38.10164669999904,1229,69764,1205,1183,1153,271816,1143,28,0,6,1,58215,15676,1226,104,21,0,3,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_062c8d37,6bba,44b6,2.053452793999895,930,5894,930,898,898,9668,898,0,0,2,0,5475,2256,930,59,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_07477033,6bba,44b6,1.4152343620007741,613,4601,613,602,602,7353,602,0,0,0,0,4001,2407,613,31,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_07e24132,6bba,44b6,11.718841873000201,359,29079,332,345,313,94116,313,0,0,3,0,25175,16404,342,27,8,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_085bf656,6bba,44b6,2.798922355999821,1198,8272,1193,1168,1162,12961,1162,0,0,1,0,7729,2235,1198,29,5,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_09961292,6bba,44b6,16.750926429000174,1950,29678,1937,1871,1853,103844,1844,13,0,7,0,25229,5514,1947,114,10,0,3,3,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_0c7fa718,6bba,44b6,3.3468034849993273,704,12495,693,659,646,36674,644,0,0,0,0,10356,5005,701,88,8,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_0e7c0d07,6bba,44b6,6.9472152660000575,209,22250,197,198,184,67660,181,0,0,0,0,16848,9824,209,44,12,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_12665c0e,6bba,44b6,3.7824603149983886,1036,8104,1009,998,969,14700,969,0,0,5,0,7189,2081,1032,99,23,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_13f19531,6bba,44b6,1.5846616600010748,737,5718,735,704,702,8272,702,0,0,0,0,5274,1972,737,34,2,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_15403b9a,6bba,44b6,1.7128109210007096,758,6313,752,729,720,11294,720,0,0,0,0,5717,2373,757,93,5,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_1d0d8384,6bba,44b6,5.845783701999608,1438,17283,1389,1365,1312,44209,1301,17,0,2,0,14915,4975,1426,163,37,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_1ebfb80d,6bba,44b6,3.177308467998955,745,11409,727,719,700,29016,700,0,0,0,0,8840,4566,736,101,9,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_1f58c2f6,6bba,44b6,8.393201454999144,317,31909,309,299,289,97235,285,1,0,0,0,26720,12136,315,39,6,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_207c6aaf,6bba,44b6,5.746629086001121,475,17356,422,450,386,43642,377,0,0,2,0,12940,10457,447,86,25,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_20852818,6bba,44b6,4.662356347998866,952,9912,905,909,861,22153,858,0,0,3,0,9018,2381,907,64,2,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_2312ac41,6bba,44b6,4.527571500999329,1156,12337,1154,1132,1130,22416,1129,0,0,4,1,10323,3789,1156,39,2,0,2,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_23af9eeb,6bba,44b6,1.342502613000761,513,4142,513,499,499,6001,499,0,0,0,0,3851,1890,513,13,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_2540cd90,6bba,44b6,1.164146940000137,529,3480,529,523,523,4232,523,0,0,0,0,3381,445,529,25,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_2646afc7,6bba,44b6,1.5738068550017488,738,5237,726,721,704,8043,704,0,0,0,0,4797,2059,738,76,12,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_268e1230,6bba,44b6,1.7752400979989034,641,4650,624,609,584,7991,584,0,0,1,0,3766,3248,637,67,13,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_2819ca14,6bba,44b6,1.8233881400010432,986,4957,973,949,935,7717,934,0,0,2,1,4549,2003,983,118,10,0,1,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_283bf9f1,6bba,44b6,5.458722512999884,1342,21705,1320,1288,1262,47679,1260,0,0,0,0,17174,5822,1341,95,21,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_312f0dc3,6bba,44b6,2.4192491070007236,520,9545,519,500,498,18154,498,0,0,0,0,8491,3131,519,27,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_32db13fc,6bba,44b6,15.00789523200001,862,44036,796,811,727,139743,721,2,0,2,0,34834,16729,844,148,48,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_337b1b3a,6bba,44b6,11.124504596999031,1272,29453,1268,1213,1208,70853,1202,0,0,4,0,27844,3262,1272,39,4,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_372c8cb8,6bba,44b6,1.8155268499995145,1036,6575,1032,1007,1003,9115,1003,0,0,0,0,6094,1982,1032,20,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_3a1849c2,6bba,44b6,1.8626536789997772,1173,6581,1163,1142,1127,11440,1127,2,0,0,0,5700,3077,1170,53,7,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_3abfe10a,6bba,44b6,17.727107144999536,997,53153,971,935,902,174482,892,19,0,2,0,41019,22550,989,110,18,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_3c5691b6,6bba,44b6,2.4796815179997793,765,6214,764,746,744,8961,744,0,0,3,0,5701,2555,765,40,1,0,2,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_3db54e20,6bba,44b6,7.8337735120003344,502,22964,490,474,461,71238,457,0,0,2,1,16594,10365,500,87,10,0,1,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_3fda6b25,6bba,44b6,2.6919241060004424,1207,8326,1201,1179,1172,12492,1172,0,0,2,0,7828,3858,1207,62,6,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_43fea39d,6bba,44b6,1.5913738350009226,910,5381,898,880,865,8826,865,0,0,0,0,4588,3362,910,73,11,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_474be664,6bba,44b6,9.22695130700049,292,26810,262,286,253,77099,251,9,0,2,0,21477,19247,269,39,7,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_48816121,6bba,44b6,14.085609793999538,935,25184,925,918,903,55042,900,0,0,9,2,21811,7389,933,95,8,0,4,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
