sample,case,partition,source_sha256,fixture_sha256,observations,anchors,positives,continuations,censored,duplicate_observations,short_history_parents
seq_0722,localization,generator_test,8002fbfc1c9160d5f56fcffad4dcb93f67dbf94bf10871bd87045030f0c31c75,128e4b6f5eae0831382dc88947cd6e5b9347842e83922bf62f65f364e6958edb,1571,256,11,245,0,0,46
seq_0722,dropout,generator_test,8002fbfc1c9160d5f56fcffad4dcb93f67dbf94bf10871bd87045030f0c31c75,4faaa2badf87d59adc3a6fec6857fc4c5216bfcb1fc48cc0309a93e1811d3892,1327,256,8,247,1,0,34
seq_0722,duplicates,generator_test,8002fbfc1c9160d5f56fcffad4dcb93f67dbf94bf10871bd87045030f0c31c75,a1144eb2608f84bfd957b3721ed37ae3564eaee9832a9c3b628fc60dcaf4b115,1738,256,16,240,0,167,36
seq_0722,clipped_daughter,generator_test,8002fbfc1c9160d5f56fcffad4dcb93f67dbf94bf10871bd87045030f0c31c75,2a9589bf4831990773b9e25d1771e5c91ba288d58f1fb973e506a6f41dc61185,1542,256,10,237,9,0,56
seq_0722,short_history,generator_test,8002fbfc1c9160d5f56fcffad4dcb93f67dbf94bf10871bd87045030f0c31c75,259b70c0e7c6362ab257f4e547eda535e1c046e6015be2628a15494cf158de92,1094,256,11,245,0,0,87
seq_0936,clean,generator_test,6531e26085ca5175e87afcc71ed69a3fb8f70c94b536396dfa68db7e873d850c,7368b522478ef13ab9cf70bb62838f12195b83068c4e0109c05752b1e6c2db9d,2157,256,17,239,0,0,46
seq_0936,localization,generator_test,6531e26085ca5175e87afcc71ed69a3fb8f70c94b536396dfa68db7e873d850c,b2d6be228d3a3ce7d09312fc85e3978e70678364b1c6e12594e02b99a567409f,2157,256,15,241,0,0,48
seq_0936,dropout,generator_test,6531e26085ca5175e87afcc71ed69a3fb8f70c94b536396dfa68db7e873d850c,937db865aeb06fd2ba9adcd3f42aa912eefa081615ab124fd8674ec657595070,1818,256,10,243,3,0,57
seq_0936,duplicates,generator_test,6531e26085ca5175e87afcc71ed69a3fb8f70c94b536396dfa68db7e873d850c,7498af61a34e5ab9f9ccb9ce70be7aac814fd201747458ebde99651d9dc9a839,2377,256,20,236,0,220,41
seq_0936,clipped_daughter,generator_test,6531e26085ca5175e87afcc71ed69a3fb8f70c94b536396dfa68db7e873d850c,de2568c5c08c834b391581ca4cd26d8283de6644c0bfcba4cc9029e1db54429b,2112,256,9,241,6,0,45
seq_0936,short_history,generator_test,6531e26085ca5175e87afcc71ed69a3fb8f70c94b536396dfa68db7e873d850c,77e98af8b5b2471508a6162821c3847ec2af8975d928206c188463c5f6fa1910,1508,256,7,248,1,0,95
seq_1060,clean,generator_test,740d8be336f5e154e6be7824be9900e7a8dd99e14d35c213328798f3b59c5b28,258bf38ec755ebba478f7ab004ecabe225952b3133c3cc66eff4c25009f8b001,2889,256,16,240,0,0,49
seq_1060,localization,generator_test,740d8be336f5e154e6be7824be9900e7a8dd99e14d35c213328798f3b59c5b28,3dd128b4ac671ade7b422e5d89cc5a6409fa0d369afa4645eda4ff4065f938f5,2889,256,16,240,0,0,48
seq_1060,dropout,generator_test,740d8be336f5e154e6be7824be9900e7a8dd99e14d35c213328798f3b59c5b28,156b856f3d3a7a46d75a561e38766f6630111839ff023288aef753ac904ba680,2463,256,11,240,5,0,41
seq_1060,duplicates,generator_test,740d8be336f5e154e6be7824be9900e7a8dd99e14d35c213328798f3b59c5b28,c5977abf3b8b4f3fb2ea253581ad4a0bde6c8ac40b5b205fef7a02433ae42e1d,3162,256,10,246,0,273,51
seq_1060,clipped_daughter,generator_test,740d8be336f5e154e6be7824be9900e7a8dd99e14d35c213328798f3b59c5b28,46c5b5961c9ea494b39b27b3ae7de6ac45099bc594c52af9f59251cd1be55c32,2830,256,7,242,7,0,49
seq_1060,short_history,generator_test,740d8be336f5e154e6be7824be9900e7a8dd99e14d35c213328798f3b59c5b28,d817f9ffb007dfa537fd4652c8fef347d4a367a2e27603df75432c11c92af12f,2023,256,9,247,0,0,82
seq_1184,clean,generator_test,fcef523a229bde1370b2a935e4d4e4d9807ec776099d6d73c0d73c6da408f71f,90dc5c14b2c9c23367bb4eafa184298fc05693c47fa307dc201a37679aad075d,1671,256,18,238,0,0,44
seq_1184,localization,generator_test,fcef523a229bde1370b2a935e4d4e4d9807ec776099d6d73c0d73c6da408f71f,f49264f1ac860ac07866a958705e36483985ccb647442afa5d8919175c49f857,1671,256,11,245,0,0,36
seq_1184,dropout,generator_test,fcef523a229bde1370b2a935e4d4e4d9807ec776099d6d73c0d73c6da408f71f,576a0565b0f2c9bddf9fc04d4c79501676f82cef23396cde5b39271b60c86571,1412,256,8,247,1,0,41
seq_1184,duplicates,generator_test,fcef523a229bde1370b2a935e4d4e4d9807ec776099d6d73c0d73c6da408f71f,a54960db7dd4682744cfa4a92a18348a06e4657c954fded5976f6e6b2c87e438,1840,256,16,240,0,169,40
seq_1184,clipped_daughter,generator_test,fcef523a229bde1370b2a935e4d4e4d9807ec776099d6d73c0d73c6da408f71f,41aac8f44ce535632162a36398967980bf038e5e25432796d3b657130303e76c,1636,256,5,245,6,0,46
seq_1184,short_history,generator_test,fcef523a229bde1370b2a935e4d4e4d9807ec776099d6d73c0d73c6da408f71f,d4743217b60a7e4173c984c88887f019eb3f7ee8121ac24a9266c95a889364a4,1167,256,11,245,0,0,84
seq_1297,clean,generator_test,e09aecd403e3b3ccf3dded91f093c80d725ad69e10d11775855465468a18f5e2,54c2a31a6a5337e345f783a31c9e70ef341952d6e214c31edb1dc59ff40c7780,1651,256,24,232,0,0,54
seq_1297,localization,generator_test,e09aecd403e3b3ccf3dded91f093c80d725ad69e10d11775855465468a18f5e2,f7ad477c95d6667c1788add93555d1da53e0389aad27a9e630860ba04ad0a67c,1651,256,21,235,0,0,50
seq_1297,dropout,generator_test,e09aecd403e3b3ccf3dded91f093c80d725ad69e10d11775855465468a18f5e2,a4219cc5396246af23907d853d79c2fe32857d488a16ff8968d598481e935c60,1408,256,13,240,3,0,54
seq_1297,duplicates,generator_test,e09aecd403e3b3ccf3dded91f093c80d725ad69e10d11775855465468a18f5e2,ebf9a3902a77ab5601bce486846b7d1f62d60ff41eb6b7d7030b858af678331e,1799,256,15,241,0,148,44
seq_1297,clipped_daughter,generator_test,e09aecd403e3b3ccf3dded91f093c80d725ad69e10d11775855465468a18f5e2,04bf23f4d96e5620724b2c6f74ea49404586d3ce0a0d726b8d1b669a192de700,1610,256,8,241,7,0,53
seq_1297,short_history,generator_test,e09aecd403e3b3ccf3dded91f093c80d725ad69e10d11775855465468a18f5e2,a24f1be48cd9c8bb9ec2bb995aa9ecfdf2b8eb0f0c53ffdbc677d3acb0f1291b,1166,256,11,245,0,0,82
seq_1465,clean,generator_test,718ba1f771d97959cd507aeb0ebd7001feb4b8089b7bbc2028aa8469baf5a318,d26accfad895ccd19de10f75b4d1469d5281fa42ee68e4b4785b8c899e5a14c7,2074,256,13,243,0,0,57
seq_1465,localization,generator_test,718ba1f771d97959cd507aeb0ebd7001feb4b8089b7bbc2028aa8469baf5a318,095a7da1483701aa0e1750af7989c17adf8c8a968d241b0c61ea6ac9dcaa067f,2074,256,15,241,0,0,47
seq_1465,dropout,generator_test,718ba1f771d97959cd507aeb0ebd7001feb4b8089b7bbc2028aa8469baf5a318,b473bb70c7f697b18311875554b49b61ab44783d930774a4b74c6004b91932e0,1754,256,6,246,4,0,49
seq_1465,duplicates,generator_test,718ba1f771d97959cd507aeb0ebd7001feb4b8089b7bbc2028aa8469baf5a318,4101bcc719f463104e08eebb90872fbc0ab3282c9ad3a1d13b3d1074b7f0ba3d,2279,256,12,244,0,205,43
seq_1465,clipped_daughter,generator_test,718ba1f771d97959cd507aeb0ebd7001feb4b8089b7bbc2028aa8469baf5a318,6f1d83f6d9b9f68c4ad7b461c1af4c848fef6131cd5edfefc37312700884991e,2034,256,5,245,6,0,58
seq_1465,short_history,generator_test,718ba1f771d97959cd507aeb0ebd7001feb4b8089b7bbc2028aa8469baf5a318,2afd3809f6c7aea0717cf439e15828d9eec33a61739178d665f0392ed3691c75,1444,256,13,243,0,0,97
seq_1610,clean,generator_test,7f6f757b50bf98b81d0bc2fd2764e61f0d992054d8b43f3cf8695192306ca299,a4688d8219a99184341d9b68be0003b4c6d65585276fa9a409706faf23a3ecce,1564,256,14,242,0,0,52
seq_1610,localization,generator_test,7f6f757b50bf98b81d0bc2fd2764e61f0d992054d8b43f3cf8695192306ca299,1f440ed2aa116e926950288700e3ee6411a46156fd61de2829411c37c75849fb,1564,256,10,246,0,0,51
seq_1610,dropout,generator_test,7f6f757b50bf98b81d0bc2fd2764e61f0d992054d8b43f3cf8695192306ca299,4299902b72d4810bd856b7af0da66ba34c237915bef68435b6bd6fc1cb37997d,1340,256,9,245,2,0,45
seq_1610,duplicates,generator_test,7f6f757b50bf98b81d0bc2fd2764e61f0d992054d8b43f3cf8695192306ca299,1c8c7b94c2ad648d79bd039fd2bb09386a1a767a60507375face373ff0b712df,1712,256,18,238,0,148,47
seq_1610,clipped_daughter,generator_test,7f6f757b50bf98b81d0bc2fd2764e61f0d992054d8b43f3cf8695192306ca299,b116fae32a092205e232278e5c00443a45450bace95b631e130e4316ef1dc3c3,1537,256,6,247,3,0,50
seq_1610,short_history,generator_test,7f6f757b50bf98b81d0bc2fd2764e61f0d992054d8b43f3cf8695192306ca299,f477002c68407e9edd154313c22642ee8e1c0c825061ce22171bfeca303e6ffe,1087,256,8,248,0,0,76
seq_1674,clean,generator_test,b120d90058e6bca856191a4db7403c9d02e017fa07f63c93ab6c28281ad20011,57b14334611fb0832d9892199b133926e741f04ec4674772f0a1d60fd2c63671,1197,256,15,241,0,0,36
seq_1674,localization,generator_test,b120d90058e6bca856191a4db7403c9d02e017fa07f63c93ab6c28281ad20011,948454829c0f030ee2448777f40d1e05fd0cb4e6ca97a3a0244bb707215871b7,1197,256,16,240,0,0,56
seq_1674,dropout,generator_test,b120d90058e6bca856191a4db7403c9d02e017fa07f63c93ab6c28281ad20011,e50d4a5f972202066dd1f21bd65ac122ad076a9b3bbb58cbe13a9738a8c2c644,1023,256,7,244,5,0,54
seq_1674,duplicates,generator_test,b120d90058e6bca856191a4db7403c9d02e017fa07f63c93ab6c28281ad20011,76262c67869eca07fb22a26531e17e70fc9a069856e59f868ccddc54957b0329,1317,256,14,241,1,120,60
seq_1674,clipped_daughter,generator_test,b120d90058e6bca856191a4db7403c9d02e017fa07f63c93ab6c28281ad20011,1ade6515406ddba4bfb5c4ac3fd7b163527f4522f7f7030f405a8d1133df8d76,1173,256,4,244,8,0,38
seq_1674,short_history,generator_test,b120d90058e6bca856191a4db7403c9d02e017fa07f63c93ab6c28281ad20011,839e248530fbd314cee9e3271aadd14a57a21721fb81df40535a948dad1a3008,833,256,8,248,0,0,78
seq_1814,clean,generator_test,5b429312024b2e410dd4857cd84ac4183af58675c42f5304ec101065f7902efd,68da0e0ac1a611054e2018d17574739407f448036292863c189304e1e37f38a3,1376,256,13,243,0,0,48
seq_1814,localization,generator_test,5b429312024b2e410dd4857cd84ac4183af58675c42f5304ec101065f7902efd,74aaf23720b73d159423520ed3e46f5d0d9215a0726c38c55b622e7a34c4eb20,1376,256,14,242,0,0,45
seq_1814,dropout,generator_test,5b429312024b2e410dd4857cd84ac4183af58675c42f5304ec101065f7902efd,2c2ead180ea366a6edd764001481a16543a5f93499373ff82c83b147dbf0bae6,1163,256,6,246,4,0,53
seq_1814,duplicates,generator_test,5b429312024b2e410dd4857cd84ac4183af58675c42f5304ec101065f7902efd,77650a11257094136a2a72115b9f44460086aec586af54aa16ef4d906a7ad378,1515,256,21,235,0,139,41
seq_1814,clipped_daughter,generator_test,5b429312024b2e410dd4857cd84ac4183af58675c42f5304ec101065f7902efd,9b51dc1ce4e7ffc45127ce5f26c11e4137aec195585dbaec69b0c880dce68fc0,1346,256,6,244,6,0,49
seq_1814,short_history,generator_test,5b429312024b2e410dd4857cd84ac4183af58675c42f5304ec101065f7902efd,6262dea96531df22121e1115475e95023145fe96e191d8b4b64a897453c9b657,972,256,10,246,0,0,86
seq_2000,clean,generator_test,d0061c4ce4f662ea24f268002fd7a5747cb30e11e11a270e68f0c95df0254a75,41f50a641dec09af290c901c3ba4074ed2525f53c2f6d55ef4f76c1c5f6626d9,2101,256,7,249,0,0,47
seq_2000,localization,generator_test,d0061c4ce4f662ea24f268002fd7a5747cb30e11e11a270e68f0c95df0254a75,34d101c5e0186d9403bf248327324945f375bc29cf41ca91671a80a511b3054e,2101,256,20,236,0,0,55
seq_2000,dropout,generator_test,d0061c4ce4f662ea24f268002fd7a5747cb30e11e11a270e68f0c95df0254a75,2917e22e3c71219b34a59e75c52691c5e13de9e491cf39bae37b89024763b7c6,1783,256,15,235,6,0,50
seq_2000,duplicates,generator_test,d0061c4ce4f662ea24f268002fd7a5747cb30e11e11a270e68f0c95df0254a75,ef28b76adcfbe5b25854a70e9b437c262eb74ae8be5509d72bb6c312857c6500,2308,256,15,241,0,207,46
seq_2000,clipped_daughter,generator_test,d0061c4ce4f662ea24f268002fd7a5747cb30e11e11a270e68f0c95df0254a75,d4e3ce0ebebba4e7ac563a3bb06d8f325ae076ed436f6975f8e4a362bba65c11,2054,256,11,233,12,0,46
seq_2000,short_history,generator_test,d0061c4ce4f662ea24f268002fd7a5747cb30e11e11a270e68f0c95df0254a75,e918fd097925cf55a5e52ea35b5334f7b27fa4b617a801f595f548802ac67a53,1480,256,16,240,0,0,86
seq_2170,clean,generator_test,30320fbec526453b25922402a8d9bbeedb05f52c55b207d4ab9d16dbda2e669a,739ccb00fbb1727d7b975d30c5e32f743677699d4012125f65821609a77ca932,1590,256,12,244,0,0,59
seq_2170,localization,generator_test,30320fbec526453b25922402a8d9bbeedb05f52c55b207d4ab9d16dbda2e669a,c70cde6f935f4438936f29bb50f43801df854eabc207903bd9ac6c18937e36cc,1590,256,18,238,0,0,42
seq_2170,dropout,generator_test,30320fbec526453b25922402a8d9bbeedb05f52c55b207d4ab9d16dbda2e669a,9dc1f3cf60a98dc2fe1617a1bb5e6e2e5749d9747440fc4063e91fe23a8fff14,1350,256,14,238,4,0,52
seq_2170,duplicates,generator_test,30320fbec526453b25922402a8d9bbeedb05f52c55b207d4ab9d16dbda2e669a,dbcd47375cf083df094d01c7e0279e58679cf46f4fd6bf995bd9109b76c48352,1753,256,19,237,0,163,46
seq_2170,clipped_daughter,generator_test,30320fbec526453b25922402a8d9bbeedb05f52c55b207d4ab9d16dbda2e669a,27b64fb255f36434a9dda17f7a3f8a479f3fe6ca958d0a6101b5dde15b838dcb,1554,256,7,242,7,0,60
seq_2170,short_history,generator_test,30320fbec526453b25922402a8d9bbeedb05f52c55b207d4ab9d16dbda2e669a,e81db5a9597d8dfc186207a037c16a72add675d67008ef390a20e5cce7f845f5,1111,256,16,240,0,0,88
