embryo,feature,bin,n,mean_feature,annotation_rate,ambiguous_rate
6bba,local_contrast,1,224613,0.11086541414260864,0.021249883132320926,0.007995975299737772
6bba,local_contrast,2,224614,0.1372428983449936,0.02758510155199587,0.009358276866090271
6bba,local_contrast,3,224613,0.16506335139274597,0.03304350148922814,0.010364493595651187
6bba,local_contrast,4,224613,0.19597694277763367,0.04063433550150704,0.011922729316646855
6bba,local_contrast,5,224614,0.23160992562770844,0.05075818960527839,0.01361446748644341
6bba,local_contrast,6,224613,0.27490925788879395,0.05940884988847484,0.01337411458820282
6bba,local_contrast,7,224614,0.3304976522922516,0.06671000026712494,0.013512069594949558
6bba,local_contrast,8,224613,0.4095500409603119,0.07297885696731712,0.011085734129369182
6bba,local_contrast,9,224614,0.5909930467605591,0.07437648588244722,0.006740452509638758
6bba,density10,0,705404,0.0,0.07745774052883171,0.001609007037102143
6bba,density10,1,645242,1.0,0.04418187284770675,0.017909559514104785
6bba,density10,2,438891,2.0,0.027239109482764513,0.012217156423804543
6bba,density10,3,456598,3.6668930053710938,0.019897152418538847,0.011487128721544991
6bba,nearest_um,0,222173,5.098947525024414,0.030588775413754148,0.031430461847299175
6bba,nearest_um,1,222447,6.540735721588135,0.028110066667565756,0.02102073752399448
6bba,nearest_um,2,226783,7.24168586730957,0.029997839344218923,0.015909481751277654
6bba,nearest_um,3,220264,7.891671657562256,0.030431663821595904,0.010609995278393201
6bba,nearest_um,4,230172,8.450820922851562,0.03286672575291521,0.009236570912187408
6bba,nearest_um,5,223557,9.042800903320312,0.03565533622297669,0.006629181819401763
6bba,nearest_um,6,220665,9.736250877380371,0.03851086488568645,0.004826320440486711
6bba,nearest_um,7,229704,10.58060359954834,0.044000104482290255,0.003090934419949152
6bba,nearest_um,8,225149,11.951512336730957,0.056229430288386804,0.001323567948336435
6bba,nearest_um,9,225221,16.283309936523438,0.1368922080978239,5.772108284751422e-05
6bba,tracklet_length,0,152962,1.521659016609192,0.025797256835030924,0.020789477125037592
6bba,tracklet_length,1,252886,4.018798828125,0.03244149537736371,0.014896040112936264
6bba,tracklet_length,2,264544,6.966198444366455,0.04261294907463409,0.012447834764727229
6bba,tracklet_length,3,162340,9.499383926391602,0.04249722803991623,0.010841443883208082
6bba,tracklet_length,4,270503,12.435592651367188,0.044550337704202914,0.010728161979719264
6bba,tracklet_length,5,215904,16.430116653442383,0.04854935526900845,0.008749258929894768
6bba,tracklet_length,6,252705,21.332996368408203,0.05013751211887379,0.008341742347796837
6bba,tracklet_length,7,204724,27.757272720336914,0.056422305152302614,0.008103593130263183
6bba,tracklet_length,8,241589,37.766510009765625,0.05859124380663027,0.006742856669798708
6bba,tracklet_length,9,227978,61.87955093383789,0.05683004500434252,0.004873277246050058
6bba,age,0,299181,0.0,0.030112206323262506,0.018032562228216364
6bba,age,1,226013,1.0,0.037205824443726686,0.01326472371058302
6bba,age,2,345080,2.460658311843872,0.042995827054596036,0.010887330474092963
6bba,age,3,137659,4.0,0.04661518680217058,0.010141000588410493
6bba,age,4,317787,5.911629676818848,0.0486520845723708,0.009339589095840924
6bba,age,5,219581,8.921956062316895,0.05116562908448363,0.00837048742832941
6bba,age,6,239690,12.8006010055542,0.053811172764821225,0.0078059159748007844
6bba,age,7,230053,19.42551040649414,0.0560088327472365,0.007367867404467666
6bba,age,8,231091,38.08594512939453,0.05641067804457984,0.005971673496587924
6bba,remaining,0,299181,0.0,0.03133554604069109,0.017491083992633223
6bba,remaining,1,226013,1.0,0.037856229508922055,0.012910761770340643
6bba,remaining,2,345080,2.460658311843872,0.04299003129709053,0.010780108960241104
6bba,remaining,3,137659,4.0,0.04665877276458495,0.009559854422885535
6bba,remaining,4,317787,5.911629676818848,0.048296500486174704,0.009761255180356653
6bba,remaining,5,219581,8.921956062316895,0.05096524744854974,0.00889876628670058
6bba,remaining,6,239690,12.8006010055542,0.05327714965163336,0.00811047603154074
6bba,remaining,7,230053,19.42551040649414,0.055678474090753,0.007546087205991663
6bba,remaining,8,231091,38.08594512939453,0.055735619301487294,0.005950036998411881
6bba,incoming_um,0,626384,0.12985891103744507,0.03770690183657309,0.013630616363125495
6bba,incoming_um,1,222779,1.237339735031128,0.049510950313988306,0.00911665821284771
6bba,incoming_um,2,250673,1.7654222249984741,0.050172934460432514,0.009438591312187591
6bba,incoming_um,3,237214,2.1328225135803223,0.0514177072179551,0.010104799885335605
6bba,incoming_um,4,225247,2.654219150543213,0.054322588092183245,0.010481826617002667
6bba,incoming_um,5,220993,3.3475935459136963,0.04980248243157023,0.008706158113605408
6bba,incoming_um,6,237196,4.078096389770508,0.048537918008735394,0.008474004620651275
6bba,incoming_um,7,225649,5.590049743652344,0.0443565005827635,0.00740530647155538
6bba,outgoing_um,0,626384,0.12985891103744507,0.038316751385731436,0.013333673912488186
6bba,outgoing_um,1,222779,1.2373398542404175,0.049295490149430604,0.009394960925401407
6bba,outgoing_um,2,250673,1.7654222249984741,0.04976602984765013,0.009602151009482474
6bba,outgoing_um,3,237214,2.1328225135803223,0.0511816334617687,0.010576947397708399
6bba,outgoing_um,4,225247,2.654219150543213,0.05427819238436028,0.010495145329349559
6bba,outgoing_um,5,220993,3.3475935459136963,0.049264003837225616,0.008909784472811356
6bba,outgoing_um,6,237196,4.078096389770508,0.0481416212752323,0.008318015480868142
6bba,outgoing_um,7,225649,5.590050220489502,0.044564788676218374,0.007228040009040589
44b6,t_norm,0,285219,0.05100542679429054,0.006724657193244489,0.001903800237712074
44b6,t_norm,1,270637,0.1568828523159027,0.006898539371926233,0.0019731226698492814
44b6,t_norm,2,309966,0.2630011737346649,0.007252408328655401,0.001742126555815799
44b6,t_norm,3,261794,0.36382776498794556,0.0074065868583695574,0.0019786549729940333
44b6,t_norm,4,296448,0.4596884548664093,0.007070379965457686,0.0018890328151986184
44b6,t_norm,5,299149,0.5606452822685242,0.0068226870221862685,0.0018385486830977205
44b6,t_norm,6,300114,0.6615882515907288,0.006714115302851583,0.0019325989457339545
44b6,t_norm,7,269391,0.7575463056564331,0.006518406331317676,0.001956264314694997
44b6,t_norm,8,300324,0.853482186794281,0.005670542480787417,0.0017880688856035483
44b6,t_norm,9,297484,0.9544702172279358,0.005059095615226365,0.0015126863965793118
44b6,z_norm,0,268432,0.031266532838344574,0.003159086845085534,0.0007003635930142457
44b6,z_norm,1,273229,0.14411267638206482,0.004377280596129986,0.0010284413440740186
44b6,z_norm,2,310626,0.2554125189781189,0.006332373980284973,0.0014229330448835577
44b6,z_norm,3,293343,0.35794371366500854,0.007728154413093205,0.0023556041903164556
44b6,z_norm,4,251477,0.44453778862953186,0.010394588769549502,0.002875014414837142
44b6,z_norm,5,300855,0.5314840078353882,0.012540925030330226,0.0029947981585813762
44b6,z_norm,6,289738,0.6265578866004944,0.006367821963290973,0.002060482228772201
44b6,z_norm,7,313291,0.7292987704277039,0.006422144268427756,0.002250304030438155
44b6,z_norm,8,275895,0.8400904536247253,0.0050997662154080355,0.001587560484967107
44b6,z_norm,9,313640,0.9623491764068604,0.003695319474556817,0.0011892615737788548
44b6,y_norm,0,286335,0.046983033418655396,0.0032828679693366163,0.0009848603908009848
44b6,y_norm,1,291761,0.17404493689537048,0.0053571244957345224,0.001593770243452689
44b6,y_norm,2,276701,0.285114049911499,0.0068232496449235815,0.001955179056093039
44b6,y_norm,3,297172,0.385032057762146,0.008012194957802216,0.002392553807222753
44b6,y_norm,4,284308,0.47847646474838257,0.014832505592526414,0.0037600067532394445
44b6,y_norm,5,287614,0.5683208703994751,0.009874345476923932,0.0027397831816253727
44b6,y_norm,6,290567,0.6607581377029419,0.005898811633805628,0.0019341494388557545
44b6,y_norm,7,291261,0.7565519213676453,0.0056924888673732495,0.001411105503311463
44b6,y_norm,8,284222,0.8558399081230164,0.0037963282223050995,0.0010590313205874281
44b6,y_norm,9,300585,0.9631563425064087,0.0026880915548014705,0.000695310810586024
44b6,x_norm,0,281118,0.030557556077837944,0.002191250649193577,0.0006616438648539048
44b6,x_norm,1,286767,0.13249468803405762,0.0034697158320169336,0.0011891186921786678
44b6,x_norm,2,293248,0.23164129257202148,0.004855958096900917,0.0012344500218245307
44b6,x_norm,3,286682,0.32734212279319763,0.005479939445099448,0.0015871244096246015
44b6,x_norm,4,296555,0.4231072664260864,0.009080946198850129,0.002819038626898889
44b6,x_norm,5,286918,0.5214128494262695,0.014453606953903205,0.0038861277438153063
44b6,x_norm,6,287242,0.6209754347801208,0.009615585464521206,0.002544892460016293
44b6,x_norm,7,291981,0.7265435457229614,0.007473089002366593,0.0021542497628270333
44b6,x_norm,8,284538,0.83855801820755,0.006013256577328863,0.0015604242667060287
44b6,x_norm,9,295477,0.9578453898429871,0.003340361517140082,0.0008122459616146096
44b6,boundary_um,0,565468,0.20642045140266418,0.0018427214272071983,0.0005853558468383711
44b6,boundary_um,1,281359,2.781895399093628,0.003898933391147964,0.0008885445285205023
44b6,boundary_um,2,308191,5.6608052253723145,0.0041662475542764065,0.0011583725676609636
44b6,boundary_um,3,277083,8.64719009399414,0.004572637079864156,0.0013569941136771292
44b6,boundary_um,4,295868,11.87273120880127,0.004779158273284032,0.001385753106114889
44b6,boundary_um,5,281208,15.544607162475586,0.0055368268328070324,0.001610907228812836
44b6,boundary_um,6,295360,19.811182022094727,0.006795097508125677,0.0019366197183098592
44b6,boundary_um,7,290940,25.389678955078125,0.010005499415687083,0.0026087853165601155
44b6,boundary_um,8,295049,34.82561492919922,0.022060742452948492,0.006205748875610492
44b6,response,0,289053,0.03256194293498993,0.0019304418220879908,0.0011831740199894137
44b6,response,1,289052,0.04565219208598137,0.004220693854392981,0.002030776469285803
44b6,response,2,289052,0.05712881311774254,0.004961045071475029,0.001996180618020287
44b6,response,3,289053,0.06823229044675827,0.00521357674890072,0.001781680176299848
44b6,response,4,289053,0.07972536236047745,0.005853597783105521,0.001736705725247619
44b6,response,5,289053,0.09213417023420334,0.0060715508920509385,0.0017920588957734394
44b6,response,6,289052,0.10622161626815796,0.006687378049624289,0.002096508586690284
44b6,response,7,289051,0.12350813299417496,0.0076733863574248145,0.002099975436860623
44b6,response,8,289054,0.14804206788539886,0.008866855328070187,0.0019754094390667487
44b6,response,9,289053,0.2090509980916977,0.014557883848290798,0.0017782206031419843
44b6,intensity,0,289053,0.31846854090690613,0.00405116016785849,0.0009859783499911782
44b6,intensity,1,289044,0.43273240327835083,0.005417860256569934,0.0020688891656633593
44b6,intensity,2,289018,0.4995191693305969,0.00625566573708212,0.0019099156453923284
44b6,intensity,3,289030,0.5541932582855225,0.00648029616302806,0.0018233401377019687
44b6,intensity,4,289107,0.604239821434021,0.0067345308138509275,0.0021514525763817547
44b6,intensity,5,289032,0.6534872651100159,0.006777796230175205,0.0021589304990450886
44b6,intensity,6,289074,0.7047732472419739,0.006617682669489473,0.0019441388710157261
44b6,intensity,7,289052,0.7624832987785339,0.00643482833538602,0.001729792563275812
44b6,intensity,8,289050,0.8369161486625671,0.00755924580522401,0.001798996713371389
44b6,intensity,9,289066,0.9901701807975769,0.009707125708315749,0.0018992202472791681
44b6,local_contrast,0,289053,0.08839984238147736,0.002580841575766382,0.0011381995689371846
44b6,local_contrast,1,289052,0.11990883201360703,0.0044040518661002176,0.0018059034360599477
44b6,local_contrast,2,289052,0.14566925168037415,0.005317382339509846,0.0019339080857423577
44b6,local_contrast,3,289053,0.1705034375190735,0.005445368150477594,0.0019062248099829442
44b6,local_contrast,4,289053,0.1962183713912964,0.005576831930476418,0.0016294589573538417
44b6,local_contrast,5,289052,0.22409941256046295,0.005950486417668793,0.0018647163832113253
44b6,local_contrast,6,289053,0.25602683424949646,0.0068118995478337885,0.0020584460289289506
44b6,local_contrast,7,289052,0.295674592256546,0.007752930268602189,0.0021484023635885583
44b6,local_contrast,8,289053,0.352581262588501,0.008700826492027414,0.002041148163139632
44b6,local_contrast,9,289053,0.4961959719657898,0.013495794888826617,0.001944280114719446
44b6,density10,0,425195,0.0,0.008125683509918978,0.0001270005526875904
44b6,density10,1,721451,1.0,0.007239576908203052,0.0011560036648365585
44b6,density10,2,734144,2.0,0.006639024496556534,0.0019927970534391075
44b6,density10,3,525328,3.0,0.005870617975817013,0.002508908719885481
44b6,density10,4,484408,4.61209774017334,0.005061848689534442,0.003447507060164159
44b6,nearest_um,0,283467,4.850864410400391,0.004247407987525885,0.004469656079896425
44b6,nearest_um,1,294415,6.077461242675781,0.005278263675424146,0.004344208005706231
44b6,nearest_um,2,271920,6.693118572235107,0.0056928508384819065,0.0032766990291262137
44b6,nearest_um,3,286308,7.129787921905518,0.0061681825167302345,0.0023820500998924235
44b6,nearest_um,4,303246,7.604977607727051,0.006555733628803018,0.0016554216708546856
44b6,nearest_um,5,291826,8.103208541870117,0.006856825642677486,0.0009320622562760001
44b6,nearest_um,6,289451,8.575424194335938,0.007227475462168035,0.0007116921344199881
44b6,nearest_um,7,286984,9.160977363586426,0.00767290162517771,0.00047389401499735176
44b6,nearest_um,8,289872,9.99217414855957,0.007765496495004692,0.00027598388254125957
44b6,nearest_um,9,293037,12.23132610321045,0.00846992018072803,8.190092036159256e-05
44b6,tracklet_length,0,268371,1.9640088081359863,0.0037746254252508655,0.0024667344832340304
44b6,tracklet_length,1,260884,5.007068157196045,0.004860397724659235,0.002085217951273363
44b6,tracklet_length,2,328255,8.469923973083496,0.0049260483465598396,0.0017364548902530045
44b6,tracklet_length,3,292600,12.465865135192871,0.005806561859193438,0.0023205741626794256
44b6,tracklet_length,4,255592,16.443002700805664,0.006314751635418949,0.0018740805659019063
44b6,tracklet_length,5,317147,21.381811141967773,0.006161180777368223,0.0016995273485166185
44b6,tracklet_length,6,286650,27.829269409179688,0.00872492586778301,0.0018001046572475143
44b6,tracklet_length,7,289093,36.14285659790039,0.008014721906099422,0.0017122517667325047
44b6,tracklet_length,8,301650,48.98630142211914,0.009404939499419857,0.0016741256423006795
44b6,tracklet_length,9,290284,78.94683837890625,0.007813038265974011,0.0012057157817861128
44b6,age,0,343519,0.0,0.00436657069914619,0.0025471662411686107
44b6,age,1,451715,1.4527279138565063,0.005510111464086869,0.001970268864217482
44b6,age,2,329677,3.4672937393188477,0.006033177928699909,0.001819963176078404
44b6,age,3,258820,5.471632957458496,0.006371223243953327,0.0017077505602349123
44b6,age,4,300009,7.935185432434082,0.006829795106146816,0.0016766163681756214
44b6,age,5,291824,11.393415451049805,0.007250945775535939,0.0017956028291024728
44b6,age,6,331449,16.699304580688477,0.0077417641929829325,0.0016744657549125205
44b6,age,7,280534,25.345230102539062,0.00805606450555013,0.001746668852973258
44b6,age,8,302979,48.42225646972656,0.008152380197967516,0.0015182570409170272
44b6,remaining,0,343519,0.0,0.004253039860968389,0.00266651917361194
44b6,remaining,1,451715,1.4527279138565063,0.005297588080980264,0.0020853856967335597
44b6,remaining,2,329677,3.4672937393188477,0.005948246313816251,0.001783563912556836
44b6,remaining,3,258820,5.471632957458496,0.006243721505293254,0.0016227494011281972
44b6,remaining,4,300009,7.935185432434082,0.006649800505984821,0.0016266178681306229
44b6,remaining,5,291824,11.393415451049805,0.00709674324250233,0.001997779483524316
44b6,remaining,6,331449,16.699304580688477,0.007551689701884755,0.0016020564249703574
44b6,remaining,7,280534,25.345230102539062,0.008530160337071442,0.0016040836404856453
44b6,remaining,8,302979,48.42225646972656,0.008895005924503019,0.0013895352483175403
44b6,incoming_um,0,511978,0.09996797889471054,0.004756063737113704,0.002173921535690987
44b6,incoming_um,1,316721,0.7829914689064026,0.00613157952898608,0.0016576103258072563
44b6,incoming_um,2,300801,1.3574000597000122,0.0063197928198377,0.0016256594891639322
44b6,incoming_um,3,239069,1.694077491760254,0.0069979796627751825,0.0019241306903027995
44b6,incoming_um,4,360452,1.9047605991363525,0.00673876133299302,0.0019142632028675108
44b6,incoming_um,5,292838,2.2076141834259033,0.0077380667809505595,0.0018986606929428558
44b6,incoming_um,6,280174,2.690948247909546,0.007684510340002998,0.0017596208070698922
44b6,incoming_um,7,286512,3.4252569675445557,0.007678561456413693,0.001605517395431954
44b6,incoming_um,8,301981,4.867147445678711,0.006917653759673622,0.001831241038343472
44b6,outgoing_um,0,511978,0.09996797889471054,0.004716999558574782,0.002259862728476614
44b6,outgoing_um,1,316721,0.7829914689064026,0.006194726589016832,0.0016323515017949552
44b6,outgoing_um,2,300801,1.3574000597000122,0.0063430640190690855,0.0016289839461969874
44b6,outgoing_um,3,239069,1.694077491760254,0.007136015125340383,0.001890667547862751
44b6,outgoing_um,4,360452,1.9047605991363525,0.0067581813944713855,0.0017672255945313108
44b6,outgoing_um,5,292838,2.2076141834259033,0.007662939918999584,0.0018679269766901836
44b6,outgoing_um,6,280174,2.690948247909546,0.007641679813258903,0.001834574228872058
44b6,outgoing_um,7,286512,3.4252569675445557,0.00762271737309432,0.001636929692299101
44b6,outgoing_um,8,301981,4.867147445678711,0.006927588159519969,0.00184117543818982
